mass_g,feature,mean,std,median,iqr,window_count,trial_count
0.75,axis_correlation_xz,-0.03947901277788652,0.4027119165611007,0.0063914466171036,0.4905430052780394,40,8
0.75,axis_correlation_yz,-0.12311697807044582,0.4073791395607147,-0.0864014716597589,0.3494764131045496,40,8
0.75,magnitude_peak_abs_centered,2.157772017620394,0.33726491261955943,2.207984227492021,0.4790815360249121,40,8
0.75,az_relative_power_15_30_hz,0.7374886331487529,0.10292797903660676,0.7421456098535457,0.13031431092874568,40,8
1.0,magnitude_mean,1.9213438996872523,0.23918054126233196,1.8521170290795959,0.2580189128910999,40,8
1.0,ay_std,0.48248322721832365,0.09186816310486881,0.47334576498406344,0.08461167791935464,40,8
1.0,az_peak_abs_centered,4.340007564094506,0.8006069899698487,4.271130653337889,0.6753391423399324,40,8
1.0,ax_std,0.5867399746517205,0.10352924572346493,0.5611540094321021,0.1748081769173917,40,8
1.0,ay_median_abs_deviation,0.35096475,0.09502803446642093,0.32398,0.06711875,40,8
1.0,magnitude_std,0.9118108291709153,0.16997405499779591,0.885909810462105,0.1584388951663912,40,8
1.0,magnitude_spectral_entropy,0.8258018407487591,0.04653656575968395,0.8209782501575928,0.06227384258139357,40,8
1.0,magnitude_spectral_centroid_hz,16.77223825330721,2.2199419007783923,16.974054565268034,3.304375474215563,40,8
1.0,az_median_abs_deviation,1.5657996250000001,0.28100563375680015,1.5184749999999996,0.22058749999999905,40,8
1.0,ax_peak_to_peak,2.36420625,0.6099874983783558,2.30403,0.5901100000000001,40,8
1.0,ay_peak_to_peak,1.9831737500000002,0.7439700446123142,1.831745,0.34914749999999994,40,8
1.0,axis_correlation_xz,-0.10357372529078132,0.4380172846454753,-0.0060867779158403496,0.6359913149607037,40,8
1.0,axis_correlation_yz,-4.994428917709237e-05,0.38351411615787817,0.03197714626421545,0.41184156827175744,40,8
1.0,magnitude_peak_abs_centered,2.563952850483593,0.9460318208285977,2.38616732640064,0.5927898110547325,40,8
1.0,az_relative_power_15_30_hz,0.827733154666572,0.051596755940129524,0.8261393272029194,0.0977301538720734,40,8
